word,meaning,n,ke,te,inte,nice,ice,ine,ene,cn,she,ixe,esis,ese,summ
poshe,sinner,0,0,186,0,0,0,0,0,0,0,0,0,0,186
zinger,singer,159,2,0,0,0,0,0,0,0,0,0,0,0,161
khaver,friend,0,0,158,0,0,0,0,0,0,0,0,0,0,158
lerer,teacher,143,12,0,0,0,0,0,0,0,0,0,0,0,155
dikhter,poet,116,0,0,0,0,0,0,0,0,0,0,0,0,116
kran,derrick,0,93,1,0,0,0,0,0,0,0,0,0,0,94
yid,Jew; person (Jewish); anonymous male stranger,1,0,0,0,0,0,1,88,0,3,0,0,0,93
khazn,(Ч—Ч–Ч Ч“),0,0,81,0,0,0,0,0,0,0,0,0,0,81
pol,floor Northern Yiddish,13,6,0,0,0,60,1,0,0,0,0,0,0,80
shrayber,writer,79,1,0,0,0,0,0,0,0,0,0,0,0,80
balebos,boss,0,0,72,0,0,0,0,0,0,0,0,0,0,72
mekhaber,author,43,0,28,0,0,0,0,0,0,0,0,0,0,71
forsher,researcher,67,0,0,0,0,0,0,0,0,0,0,0,0,67
sekretar,secretary,45,6,0,0,0,0,0,0,0,13,0,0,0,64
natsi,Nazi,0,0,0,0,0,0,0,0,0,62,0,0,0,62
kinstler,artist,54,0,0,0,0,0,0,0,0,0,0,0,0,54
student,has diminutive,0,51,0,0,0,0,0,0,0,0,0,0,0,51
kapo,kapo (position in concentration camp),0,0,49,0,0,0,0,0,0,0,0,0,0,49
kapo,capo (device for a fretted stringed musical instrument) source: vi zogt men af yidish,0,0,49,0,0,0,0,0,0,0,0,0,0,49
har,masters wife,0,0,38,10,0,0,0,0,0,0,0,0,0,48
har,master (German),0,0,38,10,0,0,0,0,0,0,0,0,0,48
direktor,director,33,0,0,0,0,0,0,0,0,12,0,0,0,45
mar,Mrs. (usually with first name),1,26,0,0,0,0,18,0,0,0,0,0,0,45
farker,traffic; transportation; intercourse,0,0,44,0,0,0,0,0,0,0,0,0,0,44
kli,special person; scholar,0,41,0,0,0,0,1,0,0,2,0,0,0,44
basheyd,interpretation; decision; solution,0,0,0,0,0,0,0,43,0,0,0,0,0,43
held,hero,40,0,0,0,0,0,1,0,0,0,0,0,0,41
kolir,colored,0,0,39,0,0,0,0,1,0,0,0,0,0,40
reb,reb Mister (with first name),1,0,0,0,0,0,0,0,38,0,0,0,0,39
ka,the letter K,0,0,0,0,0,0,0,0,0,38,0,0,0,38
tentser,dancer,26,5,0,0,0,0,0,0,0,0,0,0,0,31
farvalter,manager,30,0,0,0,0,0,0,0,0,0,0,0,0,30
profesor,professor,21,1,0,0,0,0,0,0,0,7,0,0,0,29
forzitser,president,29,0,0,0,0,0,0,0,0,0,0,0,0,29
forzitser,president,29,0,0,0,0,0,0,0,0,0,0,0,0,29
vey,woe; pain,0,0,26,0,0,0,0,0,0,0,0,0,0,26
vey,woe; pain,0,0,26,0,0,0,0,0,0,0,0,0,0,26
poet,poetic,4,0,0,0,0,0,0,0,0,0,0,0,20,24
tuer,doer; active person,23,0,0,0,0,0,0,0,0,0,0,0,0,23
tuer,doer; active person,23,0,0,0,0,0,0,0,0,0,0,0,0,23
bagleyter,companion,22,0,0,0,0,0,0,0,0,0,0,0,0,22
dakh,diminutive with root dekh,0,22,0,0,0,0,0,0,0,0,0,0,0,22
onfirer,leader,22,0,0,0,0,0,0,0,0,0,0,0,0,22
poyer,peasant; jack (playing cards),0,0,14,0,0,0,0,0,0,8,0,0,0,22
tsar,adjectival form with -ski,0,0,19,0,0,0,2,0,1,0,0,0,0,22
tsar,sorrow,0,0,19,0,0,0,2,0,1,0,0,0,0,22
tsar,adjectival form with -ski,0,0,19,0,0,0,2,0,1,0,0,0,0,22
tsar,sorrow,0,0,19,0,0,0,2,0,1,0,0,0,0,22
kenig,kingly,21,0,0,0,0,0,0,0,0,0,0,0,0,21
krish,crumb; small amount,0,21,0,0,0,0,0,0,0,0,0,0,0,21
fraynd,friend,9,1,0,0,0,0,10,0,0,0,0,0,0,20
shokhn,neighbor; tenant,0,0,20,0,0,0,0,0,0,0,0,0,0,20
fidler,violinist; fiddler,19,0,0,0,0,0,0,0,0,0,0,0,0,19
firer,leader,18,0,0,0,0,0,0,0,0,0,0,0,0,18
geviner,child-bearer; woman in labor,18,0,0,0,0,0,0,0,0,0,0,0,0,18
moler,painter,18,0,0,0,0,0,0,0,0,0,0,0,0,18
i,the letter I,1,0,3,0,0,0,0,0,0,13,0,0,0,17
leyb,lion,0,6,0,10,0,0,0,1,0,0,0,0,0,17
makher,big shot; fixer,17,0,0,0,0,0,0,0,0,0,0,0,0,17
pyanist,pianist,8,9,0,0,0,0,0,0,0,0,0,0,0,17
tip,adjectival form with -ish,0,0,0,0,0,0,0,0,0,17,0,0,0,17
valiz,valise,0,17,0,0,0,0,0,0,0,0,0,0,0,17
yat,fine lass,0,17,0,0,0,0,0,0,0,0,0,0,0,17
valiz,valise,0,17,0,0,0,0,0,0,0,0,0,0,0,17
yat,fine lass,0,17,0,0,0,0,0,0,0,0,0,0,0,17
dirigent,director,16,0,0,0,0,0,0,0,0,0,0,0,0,16
historiker,historian,16,0,0,0,0,0,0,0,0,0,0,0,0,16
kantsler,councellor (government office),16,0,0,0,0,0,0,0,0,0,0,0,0,16
a,the letter A,0,1,12,0,0,0,0,0,0,2,0,0,0,15
e,the letter E,11,0,4,0,0,0,0,0,0,0,0,0,0,15
shoyshpiler,,15,0,0,0,0,0,0,0,0,0,0,0,0,15
shiler,student,15,0,0,0,0,0,0,0,0,0,0,0,0,15
te,the letter T,1,14,0,0,0,0,0,0,0,0,0,0,0,15
yud,letter Yod,3,4,0,0,0,2,2,4,0,0,0,0,0,15
iberzetser,translator,15,0,0,0,0,0,0,0,0,0,0,0,0,15
yud,letter Yod,3,4,0,0,0,2,2,4,0,0,0,0,0,15
iberzetser,translator,15,0,0,0,0,0,0,0,0,0,0,0,0,15
metal,adjectival form with -n,0,0,0,0,0,0,0,14,0,0,0,0,0,14
tsuker,candy,0,14,0,0,0,0,0,0,0,0,0,0,0,14
tsuker,candy,0,14,0,0,0,0,0,0,0,0,0,0,0,14
advokat,lawyer,4,9,0,0,0,0,0,0,0,0,0,0,0,13
fish,fish,0,12,0,0,0,0,0,1,0,0,0,0,0,13
