word,meaning,in,ke,te,inte,nice,itse,ine,ene,cn,she,ixe,esis,ese,tshke,summ
poshe,sinner,0,0,186,0,0,0,0,0,0,0,0,0,0,0,186
zinger,singer,159,2,0,0,0,0,0,0,0,0,0,0,0,0,161
khaver,friend,0,0,158,0,0,0,0,0,0,0,0,0,0,0,158
lerer,teacher,143,12,0,0,0,0,0,0,0,0,0,0,0,0,155
dikhter,poet,116,0,0,0,0,0,0,0,0,0,0,0,0,0,116
yid,Jew; person (Jewish); anonymous male stranger,1,0,0,0,0,0,1,88,0,3,0,0,0,0,93
khazn,cantor,0,0,81,0,0,0,0,0,0,0,0,0,0,0,81
shrayber,writer,79,1,0,0,0,0,0,0,0,0,0,0,0,0,80
balebos,boss,0,0,72,0,0,0,0,0,0,0,0,0,0,0,72
mekhaber,author,43,0,28,0,0,0,0,0,0,0,0,0,0,0,71
forsher,researcher,67,0,0,0,0,0,0,0,0,0,0,0,0,0,67
sekretar,secretary,45,6,0,0,0,0,0,0,0,13,0,0,0,0,64
natsi,Nazi,0,0,0,0,0,0,0,0,0,62,0,0,0,0,62
kinstler,artist,54,0,0,0,0,0,0,0,0,0,0,0,0,0,54
student,student,0,51,0,0,0,0,0,0,0,0,0,0,0,0,51
kapo,kapo (position in concentration camp),0,0,49,0,0,0,0,0,0,0,0,0,0,0,49
har,master (German),0,0,38,10,0,0,0,0,0,0,0,0,0,0,48
direktor,director,33,0,0,0,0,0,0,0,0,12,0,0,0,0,45
kli,special person; scholar,0,41,0,0,0,0,1,0,0,2,0,0,0,0,44
held,hero,40,0,0,0,0,0,1,0,0,0,0,0,0,0,41
reb,reb Mister (with first name),1,0,0,0,0,0,0,0,38,0,0,0,0,0,39
tentser,dancer,26,5,0,0,0,0,0,0,0,0,0,0,0,0,31
farvalter,manager,30,0,0,0,0,0,0,0,0,0,0,0,0,0,30
profesor,professor,21,1,0,0,0,0,0,0,0,7,0,0,0,0,29
forzitser,president,29,0,0,0,0,0,0,0,0,0,0,0,0,0,29
poet,poetic,4,0,0,0,0,0,0,0,0,0,0,0,20,0,24
tuer,doer; active person,23,0,0,0,0,0,0,0,0,0,0,0,0,0,23
bagleyter,companion,22,0,0,0,0,0,0,0,0,0,0,0,0,0,22
onfirer,leader,22,0,0,0,0,0,0,0,0,0,0,0,0,0,22
poyer,peasant; jack (playing cards),0,0,14,0,0,0,0,0,0,8,0,0,0,0,22
tsar,tsar,0,0,19,0,0,0,2,0,1,0,0,0,0,0,22
kenig,king,21,0,0,0,0,0,0,0,0,0,0,0,0,0,21
fraynd,friend,9,1,0,0,0,0,10,0,0,0,0,0,0,0,20
shokhn,neighbor; tenant,0,0,20,0,0,0,0,0,0,0,0,0,0,0,20
fidler,violinist; fiddler,19,0,0,0,0,0,0,0,0,0,0,0,0,0,19
firer,leader,18,0,0,0,0,0,0,0,0,0,0,0,0,0,18
moler,painter,18,0,0,0,0,0,0,0,0,0,0,0,0,0,18
makher,big shot; fixer,17,0,0,0,0,0,0,0,0,0,0,0,0,0,17
pyanist,pianist,8,9,0,0,0,0,0,0,0,0,0,0,0,0,17
yat,fine lass,0,17,0,0,0,0,0,0,0,0,0,0,0,0,17
dirigent,director,16,0,0,0,0,0,0,0,0,0,0,0,0,0,16
historiker,historian,16,0,0,0,0,0,0,0,0,0,0,0,0,0,16
kantsler,councellor (government office),16,0,0,0,0,0,0,0,0,0,0,0,0,0,16
shoyshpiler,actor,15,0,0,0,0,0,0,0,0,0,0,0,0,0,15
shiler,student,15,0,0,0,0,0,0,0,0,0,0,0,0,0,15
iberzetser,translator,15,0,0,0,0,0,0,0,0,0,0,0,0,0,15
plimenik,nephew,0,0,0,0,0,15,0,0,0,0,0,0,0,0,15
advokat,lawyer,4,9,0,0,0,0,0,0,0,0,0,0,0,0,13
leyener,reader,11,1,0,0,0,0,0,0,0,0,0,0,0,0,12
